Source	Target	Color	weight	Label
2279	2465	8	0.09562127277328139	22792465
1450	1907	30	0.1677721539938801	14501907
1004	3393	9	0.11650522217585604	10043393
257	1259	21	0.07990278277780616	2571259
665	2808	29	0.02373495591306739	6652808
1853	3185	15	0.062472853655233467	18533185
1811	2455	4	0.05601418443692063	18112455
1927	2325	31	0.03301433587587117	19272325
2382	3358	28	0.058677719883126235	23823358
1809	3619	23	0.10874805465223893	18093619
517	2399	36	0.10802808046219438	5172399
1530	3648	33	0.030103873023622666	15303648
1927	2323	1	0.04403306795059251	19272323
2001	2911	10	0.09517364062026414	20012911
1596	3095	23	0.04686283259799154	15963095
925	2856	23	0.036906307194419875	9252856
897	1392	5	0.06771305810736143	8971392
1076	1744	27	0.18921938511440695	10761744
1936	3702	35	0.07446022419565262	19363702
1886	2190	7	0.008263195448064472	18862190
703	2727	20	0.045298019460375705	7032727
69	1567	22	0.14385462565520574	691567
420	1034	17	0.12948746376287393	4201034
1429	3299	35	0.4510447444459676	14293299
1392	3551	30	0.10636149804547844	13923551
703	1631	7	0.04437182465792062	7031631
1206	3909	2	0.06475464518257502	12063909
95	3185	21	0.05244303227573973	953185
1240	1262	33	0.17412484307523526	12401262
2409	2439	27	0.06122758262338562	24092439
984	2399	36	0.5764925536747959	9842399
86	915	31	0.10604334816445865	86915
822	1635	15	0.060828732666035515	8221635
384	2419	19	0.3535267090817413	3842419
1931	3269	30	0.14440782677392075	19313269
1000	1017	26	0.20926687313356038	10001017
86	3359	10	0.09798234102141996	863359
466	822	0	0.3215390319143552	466822
384	2414	18	0.09102707929813272	3842414
2373	2424	14	0.09861399322304702	23732424
897	3551	10	0.05794002485991138	8973551
1888	2884	38	0.022339835851395526	18882884
831	1450	12	0.11474229201353581	8311450
2343	3372	32	0.11896536520926232	23433372
822	3807	25	0.054712970290961234	8223807
915	2800	22	0.09933238436181815	9152800
826	2893	38	0.026544909858203205	8262893
660	1262	35	0.20027775205488263	6601262
2792	3265	12	0.023292541492228425	27923265
1634	3476	22	0.020127825475609033	16343476
1907	2195	25	0.02170165868842026	19072195
1524	2679	26	0.042794181377386456	15242679
3469	3857	6	0.09179273609378275	34693857
384	2408	8	0.06527661655589666	3842408
306	2488	8	0.06269726682251199	3062488
2043	2056	12	0.012511731053839209	20432056
2667	2782	16	0.050252935169862185	26672782
777	1627	19	0.013027825994749595	7771627
2120	3505	35	0.13538008742621546	21203505
2681	2727	28	0.0838890051703436	26812727
2406	3789	22	0.10338804556226051	24063789
715	3293	0	0.12988352898178304	7153293
1231	3123	6	0.012661001377361012	12313123
432	3921	31	0.07699252870097902	4323921
2455	3775	22	0.02848770003779592	24553775
656	660	16	0.11729534248211232	656660
1657	1831	2	0.06807444310731531	16571831
2869	3924	19	0.058703074043898136	28693924
3484	3522	6	0.0157906264615222	34843522
654	2483	4	0.6414883820894302	6542483
918	3080	3	0.12358421611568442	9183080
1998	3663	29	0.018796300776342374	19983663
565	2610	24	0.02716893749890595	5652610
1853	3142	5	0.1540938412469547	18533142
1240	2326	14	0.09127924976697828	12402326
565	1520	17	0.0695294821119911	5651520
1495	2550	1	0.1846433395974578	14952550
2750	3608	24	0.13072584157585626	27503608
3127	3210	23	0.14949638959124892	31273210
0	3617	16	0.09038123572673779	03617
52	716	24	0.04187094101696432	52716
2624	3249	20	0.046500047400364605	26243249
660	1240	18	0.14840737770391066	6601240
1896	2189	24	0.1551331432791046	18962189
831	2516	15	0.0694419235468818	8312516
1587	2134	39	0.5668599935018201	15872134
1608	1829	29	0.8014656324960208	16081829
717	977	13	0.07258477114812065	717977
517	2343	5	0.023519918151953752	5172343
95	3142	31	0.12935455669439852	953142
3095	3372	21	0.6180567300859023	30953372
1657	1810	8	0.0547426849960332	16571810
39	1853	24	0.12425581914990909	391853
2107	2182	32	0.06741838122308044	21072182
1665	3316	16	0.33630107962009087	16653316
2360	2630	25	0.03994902543560474	23602630
1759	2048	2	0.08597924854900847	17592048
2137	3402	7	0.18587789806177427	21373402
95	3136	24	0.0794156297731978	953136
117	1818	33	0.06892856392174537	1171818
1150	3270	9	0.03716849466511555	11503270
1886	2138	8	0.04825921434334851	18862138
